Date,Meteo,Temperature,Collection,Line,Color,Eyewear,Gender,Age,Quantity,Salesman
2/4/2016,No Data,No Data,A,ModelA1,Brown,Solar,F,30-45,1,Boss
2/4/2016,No Data,No Data,A,ModelA2,Brown,Solar,M,30-45,1,Boss
2/5/2016,No Data,No Data,A,ModelA3,Gray,Solar,M,15-30,1,Boss
2/5/2016,No Data,No Data,A,ModelA4,Silver,Solar,M,15-30,1,Boss
2/5/2016,No Data,No Data,A,ModelA5,Blue,Optical,M,30-45,1,Boss
2/5/2016,No Data,No Data,A,ModelA6,Transparent,Optical,F,15-30,1,Boss
2/5/2016,No Data,No Data,A,ModelA7,Black,Optical,M,45-60,1,Boss
2/6/2016,No Data,No Data,A,ModelA7,Black,Solar,M,30-45,1,Boss
2/6/2016,No Data,No Data,A,ModelA3,Black,Solar,M,30-45,1,Boss
2/6/2016,No Data,No Data,A,ModelA8,Black,Optical,M,15-30,1,Boss
2/6/2016,No Data,No Data,A,ModelA8,Black,Optical,M,15-30,1,Boss
2/7/2016,No Data,No Data,A,ModelA3,Gray,Solar,M,15-30,1,Boss
2/7/2016,No Data,No Data,A,ModelA9,Black,Solar,M,15-30,1,Boss
2/7/2016,No Data,No Data,A,ModelA3,Green,Solar,M,15-30,1,Boss
2/7/2016,No Data,No Data,A,ModelA6,Transparent,Solar,F,15-30,1,Boss
2/7/2016,No Data,No Data,A,ModelA7,Gray,Solar,M,30-45,1,Boss
2/7/2016,No Data,No Data,A,ModelA6,Transparent,Solar,F,45-60,1,Boss
2/7/2016,No Data,No Data,A,ModelA3,Gray,Solar,M,15-30,1,Boss
2/7/2016,No Data,No Data,A,ModelA10,Yellow,Solar,F,45-60,1,Boss
2/7/2016,No Data,No Data,A,ModelA6,Gray,Solar,M,45-60,1,Boss
2/7/2016,No Data,No Data,A,ModelA11,Silver,Solar,M,15-30,1,Boss
2/8/2016,No Data,No Data,A,ModelA12,Brown,Optical,F,15-30,1,Boss
2/8/2016,No Data,No Data,A,ModelA3,Green,Solar,F,15-30,1,Boss
2/8/2016,No Data,No Data,A,ModelA11,Silver,Optical,F,15-30,1,Boss
2/9/2016,No Data,No Data,A,ModelA6,Gray,Optical,M,45-60,1,Boss
2/10/2016,No Data,No Data,A,ModelA5,Blue,Optical,M,45-60,1,Boss
2/10/2016,No Data,No Data,A,ModelA3,Gray,Solar,M,15-30,1,Boss
2/11/2016,No Data,No Data,A,ModelA3,Gray,Solar,F,15-30,1,Boss
2/12/2016,No Data,No Data,A,ModelA3,Gray,Solar,M,30-45,1,Boss
2/12/2016,No Data,No Data,A,ModelA6,Gray,Solar,M,30-45,1,Boss
2/12/2016,No Data,No Data,A,ModelA9,Gray,Solar,M,15-30,1,Boss
2/12/2016,No Data,No Data,A,ModelA6,Gray,Solar,M,45-60,1,Boss
2/12/2016,No Data,No Data,A,ModelA1,Blue,Solar,F,30-45,1,Boss
2/12/2016,No Data,No Data,A,ModelA7,Black,Solar,M,15-30,1,Boss
2/12/2016,No Data,No Data,A,ModelA6,Transparent,Optical,F,15-30,1,Boss
2/12/2016,No Data,No Data,A,ModelA11,Gray,Optical,M,30-45,1,Boss
2/12/2016,No Data,No Data,A,ModelA5,Blue,Optical,M,45-60,1,Boss
